OACI,Aeropuerto,Latitud,Longitud,Fecha,METAR,FECHA_HORA_REPORTE
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 06:05:00,SKBO 090600Z 03002KT 9999 FEW010 11/10 Q1027 NOSIG =,2026-05-09 06:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 07:05:00,SKBO 090700Z 05005KT 9999 FEW020 09/09 Q1026 NOSIG =,2026-05-09 07:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 08:05:00,SKBO 090800Z 04005KT 9999 NSC 10/10 Q1025 =,2026-05-09 08:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 09:05:00,SKBO 090900Z 36003KT 9999 NSC 09/09 Q1025 NOSIG =,2026-05-09 09:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 10:05:00,SKBO 091000Z VRB02KT 9999 NSC 08/08 Q1025 =,2026-05-09 10:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 10:05:00,SKBO 091042Z 04004KT 9999 VCFG FEW020 08/08 Q1025 NOSIG =,2026-05-09 10:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 11:05:00,SKBO 091100Z 05005KT 9999 VCFG FEW020 08/08 Q1026 NOSIG RMK VCFG/NW/N =,2026-05-09 11:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 11:05:00,SKBO 091130Z 06005KT 030V090 9999 VCFG FEW020 10/10 Q1026 NOSIG RMK VCFG/NE/N =,2026-05-09 11:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 12:05:00,SKBO 091200Z 07005KT 040V120 9999 VCFG NSC 11/10 Q1026 NOSIG RMK VCFG/NE =,2026-05-09 12:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 13:05:00,SKBO 091300Z 05007KT 9999 VCFG NSC 13/10 Q1027 NOSIG RMK VCFG/NE =,2026-05-09 13:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 13:05:00,SKBO 091321Z 05007KT CAVOK 15/10 Q1027 NOSIG =,2026-05-09 13:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 14:05:00,SKBO 091400Z 05006KT 020V080 CAVOK 16/09 Q1027 NOSIG =,2026-05-09 14:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 14:05:00,SKBO 091421Z 06009KT 030V090 CAVOK 18/08 Q1027 NOSIG =,2026-05-09 14:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 15:05:00,SKBO 091500Z 10009KT 050V150 CAVOK 19/04 Q1027 NOSIG =,2026-05-09 15:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 16:05:00,SKBO 091600Z 11012KT 080V150 CAVOK 20/02 Q1026 NOSIG =,2026-05-09 16:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,09-05-2026 17:05:00,SKBO 091700Z 12011KT 090V160 9999 FEW060 20/07 Q1026 NOSIG =,2026-05-09 17:05:00
